abbreviatedAddress,address/city,address/zipcode,bathrooms,bedrooms,daysOnZillow,lastSoldPrice,latitude,livingArea (sqft),longitude,lotSize,price,yearBuilt,zestimate
10333 SW Ridgeview Ln,Portland,97219,2,3,255,735000,45.45074844,3726,-122.6988983,38332,735000,1949,806800
735 NE Royal Ct,Portland,97232,3,4,119,1075000,45.52873993,3873,-122.6238937,5227,1075000,1911,1124100
7508 SE 31st Ave,Portland,97202,2,3,256,810000,45.47023773,3201,-122.6310883,4791,810000,1927,889400
6222 SE 30th Ave,Portland,97202,4,4,259,845000,45.47694016,3145,-122.6320953,6098,845000,1927,928700
3619 SE Lexington St,Portland,97202,4,4,259,1000000,45.46659088,3256,-122.6256638,4791,1000000,2005,1099100
3522 SE Brooklyn St,Portland,97202,3,4,303,740333,45.50100708,2887,-122.6280289,3920,740333,1913,825600
2034 NE Couch St,Portland,97232,2,5,287,735000,45.52337265,3192,-122.6447372,4356,735000,1904,816800
6223 SE 18th Ave,Portland,97202,2,3,262,667000,45.47758102,2356,-122.6474762,4791,667000,1922,735700
6420 SE 28th Ave,Portland,97202,4,4,263,1047500,45.47606659,4307,-122.6343155,15681,1047500,1941,1155700
7415 SE 31st Ave,Portland,97202,3,3,266,855500,45.47085571,2447,-122.6317062,4791,855500,1957,944700
2814 SE Market St,Portland,97214,2,3,350,770000,45.51026917,2094,-122.636734,5227,770000,1926,868700
3640 NE Couch St,Portland,97232,2,4,347,800000,45.52390289,3230,-122.6247635,4791,800000,1922,901800
8236 SW 11th Ave,Portland,97219,3,3,266,755000,45.46494293,2832,-122.6895294,6098,755000,2016,830800
6307 SE 36th Ave,Portland,97202,3,5,268,700000,45.4768219,3400,-122.6268387,8500,700000,1942,773500
6604 SE 38th Ave,Portland,97202,3,4,273,925000,45.47520065,2485,-122.6233749,7405,925000,1922,1020700
7325 SW Brier Pl,Portland,97219,3,3,273,865000,45.47147369,2955,-122.6787567,10018,865000,1923,957200
7035 SE 20th Ave,Portland,97202,2,3,274,660000,45.47338104,2177,-122.6449738,4791,660000,1922,730600
7940 SW Crestline Dr,Portland,97219,3,4,274,750000,45.46718979,3537,-122.6814957,19602,750000,1953,830200
7425 SE 22nd Ave,Portland,97202,2,4,280,685000,45.47128296,2384,-122.6427689,4791,685000,1925,759600
1114 SE Lexington St,Portland,97202,3,5,281,785000,45.46695709,2876,-122.6545715,4791,785000,1930,870800
5903 SE 19th Ave,Portland,97202,1,2,281,845000,45.47989273,858,-122.6466217,4600,845000,1925,937300
2916 SE 18th Ave,Portland,97202,3,3,364,845000,45.50178528,3071,-122.6473618,3920,845000,2013,957400
1815 SE 24th Ave,Portland,97214,3,4,359,880000,45.51012039,2663,-122.6415253,4356,880000,1929,995500
7458 S Corbett Ave,Portland,97219,2,2,283,717975,45.47026062,1952,-122.6761169,6000,717975,1976,796900
6905 SE 22nd Ave,Portland,97202,2,4,284,745625,45.47447968,2635,-122.643158,4791,745625,1927,827900
6425 SE 32nd Ave,Portland,97202,4,4,297,1200000,45.47562027,3575,-122.6306915,6098,1200000,1940,1337500
1612 SE Clatsop St,Portland,97202,3,3,296,687000,45.46060562,2440,-122.6486206,2613,687000,2016,762900
2130 SE Lambert St,Portland,97202,4,4,302,905000,45.46808624,2957,-122.6422577,4791,905000,2016,1008900
1145 SE Sherrett St,Portland,97202,4,4,308,985000,45.461689,2910,-122.6539917,4791,985000,2019,1100300
10333 S Terwilliger Pl,Portland,97219,3,4,303,742000,45.45039368,3150,-122.6764908,42688,742000,1970,827400
3716 SE Woodstock Blvd,Portland,97202,2,3,301,654639,45.47895432,2018,-122.6245499,4791,654639,1947,729500
2928 SE Woodstock Blvd,Portland,97202,7,5,298,2050000,45.47880936,7906,-122.6327667,24829,2050000,1928,2285600
6035 SE Reed College Pl,Portland,97202,5,5,296,1290000,45.47856522,5710,-122.6297226,9147,1290000,1939,1548800
1205 SE Tolman St,Portland,97202,4,4,347,1997900,45.47737122,4616,-122.6534042,6534,1997900,1956,2237500
6700 SE 36th Ave,Portland,97202,3,4,337,877000,45.47441864,3058,-122.6260147,7405,877000,1925,988900
7849 SW 4th Ave,Portland,97219,3,3,345,660000,45.4677887,2522,-122.6835403,6098,660000,1943,745800
1601 S Carey Ln,Portland,97219,3,4,364,1785000,45.44952774,3467,-122.6625977,15245,1785000,1961,2022400
6223 SE 31st Ave,Portland,97202,3,4,360,788000,45.47701645,2300,-122.631691,4791,788000,1971,891700
7204 SE 32nd Ave,Portland,97202,2,3,347,779000,45.47215652,2891,-122.6300735,4791,779000,1925,880800
1144 SE Rex St,Portland,97202,3,4,354,845000,45.46981049,2900,-122.6539841,4791,845000,1912,954500
8065 SE 16th Ave,Portland,97202,4,4,357,705000,45.46472931,3205,-122.6493301,3920,705000,1906,797100
7826 SE 36th Ave,Portland,97202,3,4,346,762000,45.46665955,2751,-122.6259308,4356,762000,1927,861300
1451 SE Malden St,Portland,97202,2,4,344,690000,45.46962357,2833,-122.6508789,4791,690000,1928,779500
1250 S Radcliffe Rd,Portland,97219,3,4,343,915000,45.45070267,2832,-122.6657028,15681,915000,1967,1033400
6936 SE 28th Ave,Portland,97202,2,4,340,775000,45.473526,2792,-122.6341248,4791,775000,1940,874600
6747 SE 31st Ave,Portland,97202,2,4,336,1095000,45.47394943,3027,-122.6316833,9583,1095000,1926,1234300
7209 SE 30th Ave,Portland,97202,3,3,329,865000,45.47247314,2763,-122.6327209,6969,865000,1917,973200
7007 SE 28th Ave,Portland,97202,3,4,329,805000,45.47319031,2328,-122.6349411,7405,805000,1937,905700
3625 SE Tolman St,Portland,97202,3,4,333,760000,45.47726059,2600,-122.6259384,5662,760000,1928,856000
7835 SW 11th Ave,Portland,97219,3,4,326,670000,45.46762848,3328,-122.6902084,7405,670000,1948,753200
1835 SE Lambert St,Portland,97202,3,5,329,854000,45.46844864,3407,-122.6453934,6534,854000,1938,960800
640 SW Cheltenham St,Portland,97239,2,3,325,750000,45.48104477,2446,-122.685173,13939,750000,1953,842900
8143 SW Ruby Ter,Portland,97219,3,4,323,690000,45.46578979,2912,-122.6820297,9147,690000,1956,775000
7214 SE 28th Ave,Portland,97202,3,4,322,830000,45.47225189,2911,-122.6343002,6098,830000,1927,932000
10447 SW 11th Dr,Portland,97219,3,4,312,845000,45.44950867,3102,-122.6914902,53143,845000,1978,868400
1830 SE Claybourne St,Portland,97202,3,4,311,750000,45.47553635,2841,-122.6462555,4791,750000,1924,838700
10258 SW Lancaster Rd,Portland,97219,3,4,311,809000,45.45175171,3527,-122.6966476,33976,809000,1955,904700
7175 S Laview Dr,Portland,97219,3,3,296,959000,45.47250748,2432,-122.6758728,8276,959000,1926,1068600
10521 SW 11th Dr,Portland,97219,2,2,295,655000,45.44916534,2403,-122.6908875,20037,655000,1986,729600
6626 SE 18th Ave,Portland,97202,2,3,294,716500,45.4752388,2274,-122.6466064,4791,716500,1924,797900
7031 S Virginia Ave,Portland,97219,3,,294,875000,45.47315216,2705,-122.6741562,5708,875000,1922,972700
1577-1583 SE Spokane St,Portland,97202,1,2,294,1090000,45.46524429,850,-122.6493301,9500,1090000,1969,1015800
7315 S Virginia Ave,Portland,97219,2,4,290,797500,45.47165298,2902,-122.6738815,9583,797500,1917,757800
2320 SW 17th Ave,Portland,97201,4,4,354,1699000,45.50967789,4053,-122.6954117,4791,1699000,2013,1919100
2416 SE 34th Ave,Portland,97214,6,7,353,1243500,45.50518036,3415,-122.629303,4356,1243500,1922,1404600
1016 SW Davenport St,Portland,97201,3,5,353,1279000,45.50550461,4708,-122.6889572,9147,1279000,1957,1444300
2028 SW Jackson St,Portland,97201,5,4,350,2000000,45.51269913,5055,-122.6980972,8276,2000000,1940,2263200
4430 SW Council Crest Dr,Portland,97239,3,4,358,835000,45.49103165,3899,-122.6964111,8712,835000,1960,944300
3215 SE Brooklyn St,Portland,97202,4,4,343,1055000,45.50144958,3500,-122.6321335,4791,1055000,2016,1191500
2506 SE Grant St,Portland,97214,1,3,337,816000,45.50679016,3284,-122.6400909,9147,816000,1911,936600
2815 SE 28th Pl,Portland,97202,3,4,337,675000,45.50292206,2053,-122.6368027,2178,675000,2020,758600
3630 SE Francis St,Portland,97202,3,3,333,670000,45.49454498,1997,-122.6259689,4791,670000,2020,754600
2304 SE 24th Ave,Portland,97214,3,4,332,810000,45.50608063,2988,-122.6409378,4791,810000,1912,912100
3581 SE Grant Ct,Portland,97214,3,6,326,680000,45.50686264,3743,-122.6267853,7405,680000,1908,786900
3440 SE Harold Ct,Portland,97202,3,4,326,942950,45.48250198,3785,-122.6280365,10018,942950,1953,1060000
2115 SE Sherman St,Portland,97214,2,4,326,955000,45.5064621,3462,-122.6437302,4791,955000,1953,1073500
2650 SW Cross Ave,Portland,97201,3,3,322,1075000,45.50517654,3572,-122.6867142,6098,1075000,1964,1207000
2326 SE Taggart St,Portland,97202,2,5,315,659000,45.50245285,2676,-122.6419907,4791,659000,1929,738000
1903 SE 29th Ave,Portland,97214,4,4,312,1089000,45.50963211,2740,-122.6363525,4675,1089000,2019,1219200
1520 SW Clifton St,Portland,97201,6,5,311,2783610,45.51065826,4332,-122.6936569,14374,2783610,1938,3112800
2315 SE Salmon St,Portland,97214,2,5,310,885000,45.51451111,4544,-122.6420364,,885000,1904,989700
3104 SE Main St,Portland,97214,2,3,308,769900,45.51336288,2383,-122.6335754,5662,769900,1907,860100
3411 SE Clinton St,Portland,97202,2,4,308,810000,45.50371552,2204,-122.6292725,3484,810000,1923,904900
4839 SE 36th Pl,Portland,97202,4,5,298,1149000,45.48755264,3814,-122.6259918,4791,1149000,2015,1279100
2815 SE Market St,Portland,97214,2,4,301,750000,45.51070786,2414,-122.6367264,4791,750000,1930,835800
2326 SE Woodward St,Portland,97202,2,4,298,651000,45.5017395,2152,-122.6419754,4356,651000,1929,724700
3923 SE Taylor St,Portland,97214,3,4,296,790000,45.51529312,2823,-122.6223755,6098,790000,1909,880300
2047 SW Sunset Blvd,Portland,97239,3,3,311,774000,45.48538208,2407,-122.6982574,7840,774000,1952,865500
3350 SW 13th Ave,Portland,97239,4,4,288,1200000,45.49858475,3473,-122.6929703,4791,1200000,2020,1331200
4820 SW 18th Pl,Portland,97239,4,5,295,828300,45.48789978,3527,-122.6989136,14374,828300,1961,922700
4323 SW Hamilton Ter,Portland,97239,1,4,288,1470267,45.49193573,3426,-122.6812363,9147,1470267,1926,1634400
1135 SE Grant St,Portland,97214,2,4,295,690700,45.50737381,1085,-122.6540222,4791,690700,1885,769400
2870 SE Tibbetts St,Portland,97202,3,5,287,765000,45.50030136,3288,-122.6362,3920,765000,1914,850100
2725 SE 31st Ave,Portland,97202,3,3,281,825000,45.50311279,3145,-122.6338882,4791,825000,1904,926300
5714 SE Lincoln St #A,Portland,97215,4,4,361,795000,45.50785828,2544,-122.6045456,4356,795000,1925,899900
2418 SE Ivon St,Portland,97202,3,3,280,780000,45.50387573,2026,-122.6412125,4791,780000,2003,865000
5663 SW Menefee Dr,Portland,97239,4,5,280,975000,45.48228836,4525,-122.6852264,7405,975000,2005,1081200
4231 SE Madison St,Portland,97215,1.5,3,360,700000,45.51295853,2844,-122.6188812,3800,700000,1910,792100
2009 N Humboldt St,Portland,97217,3,3,361,670000,45.55856323,2465,-122.6878433,4791,670000,2013,758400
637 SE Saint Andrews Dr,Portland,97202,3,3,354,1189900,45.4559288,3098,-122.6490097,19602,1189900,1930,1434200
7900 SE 29th Ave,Portland,97202,3,4,357,775000,45.46776962,2750,-122.6331177,4791,775000,1922,876200
1926 NE Mason St,Portland,97211,2,2,305,778500,45.55275726,2372,-122.645607,,778500,1934,868800
4712 NE 15th Ave,Portland,97211,3,4,318,667000,45.55715561,2138,-122.649437,4791,667000,1908,747700
626 NE Going St,Portland,97211,4,4,323,875000,45.55621338,2533,-122.6589737,3049,875000,2018,979400
3615 NE Cleveland Ave,Portland,97212,3,3,331,807500,45.54913712,2031,-122.666008,3049,807500,2017,905900
1433 SW Hume Ct,Portland,97219,3,5,324,805000,45.46507645,2980,-122.6935654,3920,805000,2015,904400
2122 SW Vista Ave,Portland,97201,3,3,353,710000,45.51150513,2750,-122.6976395,3049,710000,1906,801700
6908 SW 8th Ave,Portland,97219,2,5,287,765000,45.47441101,3476,-122.6863785,6969,765000,1940,850100
2857 SE Harrison St,Portland,97214,4,3,336,1060000,45.50867844,3216,-122.6365585,5662,1060000,1913,1194900
1945 SE 24th Ave,Portland,97214,2,3,329,919370,45.50902557,2355,-122.6415176,4356,919370,1925,1034300
3764 SE Stephens St,Portland,97214,3,4,297,995000,45.50931931,2642,-122.6243515,3484,995000,2015,1109000
1320 SE Birch St,Portland,97214,1,3,283,700000,45.50705719,1935,-122.652153,,700000,1925,777000
6732 N Knowles Ave,Portland,97217,4,4,93,795900,45.57169342,2674,-122.6990051,3484,795900,2016,823300
6732 N Knowles Ave #A,Portland,97217,3.5,,93,795900,45.57169342,2700,-122.6990051,3633,795900,2016,823300
6028 N Williams Ave,Portland,97217,4,5,115,963000,45.5669136,2700,-122.6665726,6781,963000,1910,1005400
13695 NW Skyline Blvd,Portland,97231,6,4,161,1900000,45.62147141,5033,-122.8802795,1783346,1900000,2008,1853300
11355 NW 185th Pl,Portland,97231,3,4,242,775000,45.60519409,2666,-122.8688202,63597,775000,1968,875600
17100 NW Skyline Blvd,Portland,97231,4,5,280,1240000,45.64689636,4903,-122.8885651,415562,1240000,1996,1371700
14640 NW Rock Creek Rd,Portland,97231,4,5,23,1475000,45.62680435,4267,-122.8966827,609840,1475000,1993,1476500
11703 NW Old Cornelius Pass Rd,Portland,97231,3,,294,765000,45.6088028,2662,-122.8659515,154638,765000,1992,981500
7406 SE 27th Ave,Portland,97202,3,4,346,950000,45.47132492,3211,-122.6351471,6098,950000,1930,1073800
7107 S Virginia Ave,Portland,97219,4,3,329,779000,45.47278976,2388,-122.6740036,4356,779000,2006,876400
7936 SE 27th Ave,Portland,97202,4,4,338,749500,45.46739578,3600,-122.6350784,7840,749500,1926,1114500
3925 NE Mallory Ave UNIT A,Portland,97212,4.5,,52,1337500,45.55125809,4105,-122.6639709,2500,1337500,2017,1360500
1552 N Alberta St,Portland,97217,2,,59,665000,45.55887985,1608,-122.6834564,5000,665000,1942,678400
3611 N Albina Ave #A,Portland,97227,1,,74,870000,45.54891968,2252,-122.6747894,2500,870000,2015,892900
1541 SW Maplecrest Dr,Portland,97219,2,4,315,825000,45.4533844,2896,-122.6956558,18295,825000,1958,923900
2605 SE Market St,Portland,97214,2,3,350,825000,45.51071167,2635,-122.6391449,4791,825000,1930,933600
1605 SE Yukon St UNIT A,Portland,97202,3.5,,294,780000,45.47920227,2686,-122.6492004,1869,780000,2016,867100
5104 SW 18th Dr,Portland,97239,3,4,340,760000,45.48619843,2948,-122.6955032,10890,760000,1980,857600
1990 SE Mulberry Ave,Portland,97214,3,4,326,975000,45.50876236,3820,-122.6509094,5227,975000,1910,1096000
945 SW Maplecrest Ct,Portland,97219,5,4,295,975000,45.45335388,3463,-122.6884384,20037,975000,1942,1084200
222 SW Florida St,Portland,97219,3,4,340,850000,45.4747467,3816,-122.6802368,4791,850000,2000,959200
7121 SE Reed College Pl,Portland,97202,3,3,361,895000,45.47232056,3527,-122.6296768,6098,895000,1932,1013100
7342 SE 29th Ave,Portland,97202,4,6,364,1250000,45.47129822,3308,-122.63311,7405,1250000,1920,1038700
7008 SW Capitol Hill Rd,Portland,97219,3,,23,675000,45.47356033,2566,-122.6962204,12632,675000,1926,764500
2448 SW Commonwealth Ave,Portland,97201,6,5,281,1196320,45.50513077,5884,-122.6862411,10018,1196320,1989,1323800
2240 SW 17th Ave,Portland,97201,3,2,287,1449000,45.50995636,2963,-122.6952591,4791,1449000,1979,1610200
1623 SE 32nd Ave,Portland,97214,2,3,323,682500,45.51094055,3506,-122.633049,4791,682500,1924,766600
5803 SE Tolman St,Portland,97206,3,4,217,684375,45.47755814,2463,-122.6033554,,684375,2020,743600
5771 SE Tolman St,Portland,97206,3,3,217,684375,45.47753906,2403,-122.6035156,,684375,2020,743600
5018 SE Rural St,Portland,97206,3,4,225,699900,45.47168732,2525,-122.6113586,3920,699900,2009,762500
7110 SE 42nd Ave,Portland,97206,1,2,232,849900,45.47175217,952,-122.6192474,6490,849900,1941,928100
7110 Se 42nd Ave.,Portland,97206,3,4,232,849900,45.47171402,2605,-122.6192932,3049,849900,2017,727100
5815 SE 60th Ave,Portland,97206,3,4,240,651000,45.48060608,1889,-122.6024017,3484,651000,2014,712800
6341 SE 48th Ave,Portland,97206,3,4,259,945000,45.47658157,3181,-122.613739,4791,945000,2017,1037300
11009 SE Mount Scott Blvd,Portland,97266,4,4,308,705000,45.46550369,3059,-122.5497894,23522,705000,1968,787600
4834 SE Ogden St,Portland,97206,4,3,322,665000,45.47097778,2580,-122.6131668,5227,665000,2012,746700
4815 SE Rural St,Portland,97206,3,4,326,700000,45.47210312,2597,-122.6135025,4791,700000,2016,786900
8034 SE 42nd Ave,Portland,97206,2,4,344,665000,45.46537781,1536,-122.6191711,3484,665000,1940,751300
3943 SE Cooper St,Portland,97202,3,4,358,875000,45.4741478,3562,-122.6214294,8712,875000,1959,989600
10633 SE Lexington St,Portland,97266,3,4,359,4000000,45.46642685,2179,-122.5537643,10400,4000000,1974,567700
4308 Glenwood,Portland,97206,3,4,268,679900,45.47451019,2047,-122.6178131,,679900,,751300
4308 Se Glenwood St,portland,97202,3,4,273,679900,45.47451019,2047,-122.6178131,,679900,2020,750300
4292 SE Glenwood St,Portland,97206,3,4,273,680000,45.4744606,2047,-122.6184311,,680000,2020,750400
163 NE Graham St,Portland,97212,4,4,121,871000,45.54319,2843,-122.6632843,4356,871000,2018,911500
2107 N Vancouver Ave #A,Portland,97227,4,4,151,855000,45.53820419,3200,-122.6680222,5000,855000,1909,905700
8229 SE 70th Ave,Portland,97206,1,2,18,443,45.46368027,1286,-122.5917358,5227,472900,1953,505800
7023 N Polk Ave,Portland,97203,1,3,66,340000,45.58526611,1358,-122.747757,5227,340000,1919,488400
9810 N Clarendon Ave,Portland,97203,2,3,37,373286,45.59369659,1334,-122.7238617,2325,399000,2004,418228
1900 N Watts St,Portland,97217,2,3,50,130000,45.58074951,1465,-122.6858292,5000,130000,1911,403000
15521 NE Holladay St,Portland,97230,1,3,55,315000,45.53037643,1115,-122.5030823,10000,315000,1956,394400
7910 SE Harney St,Portland,97206,1,2,34,368700,45.4630394,822,-122.5820007,7405,379900,1948,374600
12901 NE Clackamas St,Portland,97230,1,2,6,242000,45.53300476,1080,-122.5302811,7840,399000,1952,423000
7063 N Haight Ave,Portland,97217,2,4,27,260000,45.57429886,2446,-122.6700439,4791,599000,1919,666000
9000 NE Sumner St,Portland,97220,1,2,206,330000,45.56086349,930,-122.5699463,9583,330000,1942,358700
8191 SE Cypress Ave,Milwaukie,97267,3,3,125,327000,45.41449356,1690,-122.5796127,6969,327000,1975,465300
5109 SE 113th Ave,Portland,97266,1,2,134,245000,45.48506927,700,-122.5475006,6969,245000,1947,344400
4748 SE Thiessen Rd,Milwaukie,97267,2,3,140,290000,45.40981674,1310,-122.6146317,7001,290000,1969,315100
2535 SE 84th Pl,Portland,97266,1,2,133,265000,45.50404358,784,-122.5757294,4791,265000,1947,353300
6330 SE 83rd Ave,Portland,97266,2,3,47,230000,45.47706604,1920,-122.5777359,4356,299000,1906,335200
16015 SE Stephens St,Portland,97233,2.5,3,120,280000,45.50960159,1360,-122.4980774,7138,280000,1973,443400
8923 SE Stephens St,Portland,97216,2,3,107,206272,45.50958633,1844,-122.5714111,5662,206272,1953,492800
6815 SE Tenino St #N,Portland,97206,1,2,11,170000,45.46450806,1349,-122.5929031,6600,385000,1953,380300
6130 NE 9th Ave,Portland,97211,1,3,218,335315,45.56753159,959,-122.6556702,4791,335315,1950,366100
3906 NE 115th Ave,Portland,97220,2,2,218,340000,45.55120087,1622,-122.5437469,6969,340000,1945,371200
11908 NE Eugene St,Portland,97220,1,2,213,340000,45.5377121,960,-122.5404968,6534,340000,1955,370500
11500 NE Fremont Ct,Portland,97220,1,2,213,345000,45.54830933,1718,-122.5439835,6969,345000,1945,376000
7044 N Commercial Ave,Portland,97217,1,3,213,328000,45.5740242,2080,-122.670433,4791,328000,1928,383800
4524 NE 84th Ave,Portland,97220,1,3,213,350000,45.55584335,1623,-122.5763474,4791,350000,1926,381400
12352 NE Holladay Pl,Portland,97230,1,2,213,235000,45.52920151,774,-122.5355988,8820,235000,1951,256100
8011 SE Ellis St,Portland,97206,1,2,92,315000,45.48256683,1064,-122.5811539,5000,315000,1912,452100
1327 NE 73rd Ave,Portland,97213,1,2,213,356000,45.53252792,816,-122.5880585,4791,356000,1950,388000
1323 NE 118th Ave,Portland,97220,1,2,213,232000,45.53239059,770,-122.5418015,9583,232000,1925,252500
11206 NE Fremont Ct,Portland,97220,1,2,213,315000,45.54829025,1622,-122.5472717,5662,315000,1945,343300
6411 SE 94th Ave,Portland,97266,1,2,36,175500,45.4764328,780,-122.5669479,3920,239000,1923,257600
10630 NE Tillamook St,Portland,97220,1,2,213,360000,45.53731537,1194,-122.5527039,6534,360000,1951,392300
761 NE 94th Ave,Portland,97220,3,3,213,367000,45.52846527,1520,-122.5671158,2178,367000,2007,400000
4545 NE 84th Ave,Portland,97220,1,2,213,151825,45.55612183,682,-122.5769272,5000,151825,1926,393648
6611 NE 66th Ave,Portland,97218,1,1,210,160000,45.57106781,512,-122.5955887,13503,160000,1948,284999
3745 NE 80th Ave,Portland,97213,1,2,209,372400,45.55030441,1283,-122.5810471,4791,372400,1925,405400
4525 NE 78th Ave,Portland,97218,1,2,209,359900,45.5558548,786,-122.5831757,,359900,1949,391600
3820 N Gantenbein Ave,Portland,97227,1.25,3,209,230000,45.5504303,1404,-122.6687088,4000,230000,1906,292600
615 NE 91st Ave,Portland,97220,1,2,205,314000,45.52736282,768,-122.5701141,4791,314000,1953,423300
5429 NE 28th Ave,Portland,97211,1,2,204,332000,45.56245422,1100,-122.6371384,3920,332000,1907,360600
6649 NE Wygant St,Portland,97218,1,1,203,349900,45.55836105,629,-122.5942001,6098,349900,1929,379900
4324 NE Simpson St,Portland,97218,1,1,202,237500,45.56489563,832,-122.6185989,8712,237500,1956,257700
10020 N Mohawk Ave,Portland,97203,1,3,360,369900,45.59738159,960,-122.7439575,4791,369900,1958,422100
9406 N Macrum Ave,Portland,97203,3,3,356,347500,45.59115982,1346,-122.7310104,1742,347500,2008,395300
9455 N Richmond Ave,Portland,97203,1,2,356,330000,45.59583282,1496,-122.7474976,4791,330000,1910,376200
7305 N Saint Johns Ave,Portland,97203,1,2,356,375000,45.59622192,800,-122.7615967,3920,375000,1947,427500
6918 N Philadelphia Ave,Portland,97203,1,2,356,219900,45.58829117,690,-122.757515,,219900,1970,250100
6827 N Hudson St,Portland,97203,1,2,351,350000,45.58924866,603,-122.7353134,4791,350000,1927,398400
6830 N Columbia Blvd,Portland,97203,1,2,350,303500,45.59514618,806,-122.7330551,5227,303500,1979,345400
9409 N Tyler Ave,Portland,97203,1,2,346,326500,45.59424591,1771,-122.7440109,,326500,1951,371200
9416 N Mohawk Ave,Portland,97203,1,2,346,240000,45.59472656,987,-122.7453308,4791,240000,1949,447400
355 NW 139th Ave,Portland,97229,1,2,344,375000,45.52226257,1080,-122.8208923,9583,375000,1948,438000
2225 N Winchell St,Portland,97217,1,5,343,368000,45.58047485,2164,-122.6896667,3484,368000,1912,571900
10470 NW Lee St,Portland,97229,2,3,342,300000,45.51978302,1544,-122.7850189,10191,300000,1994,350200
8033 N Lombard Way,Portland,97203,1,2,339,273000,45.58995438,1095,-122.7484283,5662,273000,1919,450800
3120 N Arlington Pl,Portland,97217,1,2,338,40192,45.58311844,796,-122.6984406,5000,40192,1952,472800
5018 NE Prescott St,Portland,97218,3,4,14,350000,45.55524826,2879,-122.6109772,15245,799999,1949,846900
4569 NE 78th Pl,Portland,97218,2,2,106,375000,45.556427,1725,-122.582077,9147,375000,1951,390700
9487 N Trumbull Ave,Portland,97203,1,3,195,265000,45.59780121,1098,-122.7514877,4791,265000,1919,441100
6731 SE Clatsop St,Portland,97206,1,3,8,305000,45.46172333,1036,-122.5939255,6969,435000,1964,461900
8528 SE 75th Ave,Portland,97206,3,3,15,360000,45.46192932,1266,-122.5865707,5280,460000,1997,484700
2809 S Water Ave,Portland,97201,1,3,62,299500,45.5027504,2486,-122.6767883,2613,299500,1896,453200
23586 NW Saint Helens Rd UNIT U62,Portland,97231,1,2,251,148000,45.70213318,880,-122.8696442,,148000,1939,405100
26400 NW St Helens Rd SLIP 14,Scappoose,97056,1,,302,120000,45.71385956,,-122.8709869,2996,120000,1986,513100
8311 NE Sacramento St,Portland,97220,1,2,218,300000,45.53959656,978,-122.577507,6600,300000,1937,327600
8006 SW 56th Ave,Portland,97219,2,3,286,370000,45.4668045,1227,-122.7340317,10700,370000,1976,548300
3353 SW Falcon St,Portland,97219,1.5,2,344,295000,45.46633148,1280,-122.7113113,6473,295000,1951,639900
6801 SW Terri Ct,Portland,97225,2,2,37,160500,45.4784584,929,-122.7466202,,160500,1971,163200
9603 SW 52nd Ave,Portland,97219,1,3,360,372000,45.45595169,960,-122.7306976,4791,372000,1971,424500
3828 SW Cullen Blvd,Portland,97221,1,1,360,259999,45.48244858,490,-122.7173538,5662,259999,1928,296700
3612 SW Custer St,Portland,97219,2,3,357,365000,45.46947479,1248,-122.7145233,5227,365000,1981,416200
2375 SW Westfield Ave,Portland,97225,1,2,345,345000,45.5030365,984,-122.8093796,6098,345000,1949,403000
12345 SW Edgewood St,Portland,97225,1,3,342,345000,45.50484085,968,-122.8042831,7840,345000,1948,485600
5334 SW Florida St,Portland,97219,1,3,342,309000,45.4751091,1486,-122.7322006,5662,309000,1926,350900
9601 NW Leahy Rd,Portland,97229,1,2,41,275000,45.52388382,956,-122.7759628,156816,275000,1998,280400
17516 NW Springville Rd,Portland,97229,4,2,160,222000,45.56267929,1022,-122.8577423,,222000,1994,241200
7260 SE Tenino St,Portland,97206,1,3,169,290000,45.46414948,1190,-122.5881729,5662,290000,1942,310600
15750 SE Johnson Rd,Clackamas,97015,1,3,356,370000,45.40910339,1018,-122.5755234,10454,370000,1960,427600
15560 SE Kaslin Ct,Milwaukie,97267,2,3,356,335000,45.41009521,1300,-122.5848389,,335000,1972,452400
14881 SE Primrose Ave,Milwaukie,97267,1,2,357,357000,45.41525269,1008,-122.5751724,11325,357000,1968,428700
8734 SE Jefferson St,Clackamas,97015,1,3,360,358000,45.40702438,1216,-122.5735855,10454,358000,1959,430300
2829 SE 129th Ave,Portland,97236,1,2,338,285000,45.50157547,816,-122.5314941,5662,285000,1942,323300
16935 SE Mill St,Portland,97233,1,3,346,325000,45.51074982,988,-122.4885178,10018,325000,1957,389000
13722 SE Lincoln Ct,Portland,97233,1,3,359,315000,45.50667191,982,-122.5223541,8712,315000,1963,359300
16933 SE Harrison St,Portland,97233,2,3,360,345000,45.50854874,1328,-122.4885025,7000,345000,2003,393700
1210 SE 141st Ave,Portland,97233,2,3,358,328650,45.5144043,1008,-122.5181427,7405,328650,1959,374800
14411 SE Alder Ct,Portland,97233,2,3,358,308000,45.51758194,1760,-122.5147476,6969,308000,1974,351300
13703 SE Gladstone St,Portland,97236,2,3,357,305250,45.49258804,1040,-122.5222473,5662,305250,1981,348000
3114 SE 134th Ave,Portland,97236,2,2,357,324000,45.49957657,1306,-122.5247803,13503,324000,1955,369400
13086 SE Lincoln St,Portland,97233,2,3,356,345000,45.50733185,1320,-122.528511,5662,345000,1979,392400
2137 SE 143rd Ave,Portland,97233,1,3,357,335000,45.50708771,1021,-122.5159073,6098,335000,1957,382000
634 SE 136th Ave,Portland,97233,2,4,353,330000,45.51782227,1632,-122.5235291,7405,330000,1954,375900
