abbreviatedAddress,address/city,address/zipcode,bathrooms,bedrooms,daysOnZillow,lastSoldPrice,latitude,livingArea (sqft),longitude,lotSize,price,yearBuilt,zestimate
4741 SE 34th Ave,Portland,97202,2,4,138,640000,45.48863602,2854,-122.6297226,5227,640000,1950,679600
4005 SE Sherman St,Portland,97214,3,4,139,475600,45.50637817,1874,-122.6212692,2613,475600,1911,505200
6967 NE Alameda St,Portland,97213,2,3,238,611500,45.54283142,2667,-122.5907669,4356,611500,1941,675200
5217 SE 43rd Ave,Portland,97206,1.5,3,139,580000,45.48527527,1844,-122.6188278,6500,580000,1942,616100
206 NE 73rd Ave,Portland,97213,1,3,243,535000,45.52418137,1949,-122.587616,6969,535000,1948,591600
1836 SE Harold St,Portland,97202,2,3,140,633000,45.48284912,1800,-122.6467209,6534,633000,1910,672700
10909 NE Siskiyou St,Portland,97220,2,3,243,525000,45.54478455,2616,-122.550415,18295,525000,1960,580600
4437 SE 46th Ave,Portland,97206,1,3,140,530000,45.49071884,2128,-122.6151581,4791,530000,1951,563300
10835 NE Fargo St,Portland,97220,3,4,244,515000,45.54580688,2399,-122.5507202,11325,515000,1956,569700
3404 SE 51st Ave,Portland,97206,2,5,143,625000,45.49822617,3387,-122.6098099,4791,625000,1908,665100
2607 NE 59th Ave,Portland,97213,1,2,244,502000,45.54167938,1807,-122.6028442,4791,502000,1914,555300
4621 SE 50th Ave,Portland,97206,2,3,143,600000,45.48918152,1505,-122.6112595,4791,600000,1963,638500
7916 SE Taylor St,Portland,97215,3,3,245,595000,45.51508713,2111,-122.5820236,5227,595000,1906,658400
5224 SE 46th Ave,Portland,97206,3,3,146,600000,45.48529053,1697,-122.6151505,2613,600000,2015,639300
2124 NE 57th Ave,Portland,97213,2,3,245,525000,45.53811264,1953,-122.6043167,4791,525000,1927,580900
2015 SE 51st Ave,Portland,97215,2.5,3,150,500000,45.50852585,1809,-122.6103973,5600,500000,1950,533700
1726 SE 47th Ave,Portland,97215,2,3,150,625000,45.51033783,2650,-122.6138306,3484,625000,1913,667200
9307 NE Thompson St,Portland,97220,3,5,248,549900,45.53884888,2876,-122.5669556,10018,549900,1960,609000
244 SE 89th Ave,Portland,97216,1,3,248,500000,45.52046585,1962,-122.571785,4356,500000,1926,553800
120 SE 61st Ave,Portland,97215,2,3,248,500000,45.52168655,1512,-122.6007538,4791,500000,1975,553800
2302 SE 47th Ave,Portland,97215,2,4,150,570000,45.50653458,2476,-122.6139221,4791,570000,1890,755500
7621 SE Pine St,Portland,97215,1,3,248,540396,45.52050018,2304,-122.5842133,3484,540396,1928,598500
7449 SE Salmon St,Portland,97215,3,4,248,637500,45.51464844,2703,-122.586235,7405,637500,1960,706100
3240 NE 131st Ave,Portland,97230,3,4,248,625000,45.54627991,4302,-122.5268784,9147,625000,1964,692200
11430 NE Klickitat St,Portland,97220,3,4,249,536000,45.54627991,2730,-122.5453262,16988,536000,1949,593800
2934 SE Francis St,Portland,97202,1,3,151,525000,45.49456406,2934,-122.6348267,3484,525000,1910,560700
5833 NE Halsey St,Portland,97213,3,4,252,557000,45.53393173,2163,-122.6032944,4791,557000,1930,617700
4522 SE Lincoln St,Portland,97215,2,3,151,601000,45.50786209,2080,-122.6156235,4791,601000,1926,641800
3107 SE 71st Ave,Portland,97206,2,3,138,522000,45.50016785,1762,-122.5902252,5662,522000,1930,554300
3406 SE 53rd Ave,Portland,97206,3,4,154,650000,45.49822235,2054,-122.6077499,4791,650000,2014,695100
12937 NE Morris St,Portland,97230,3,5,252,629900,45.54344177,4308,-122.5292892,7405,629900,1969,698500
1704 NE 101st Ave,Portland,97220,2,3,256,500000,45.5348587,2790,-122.5587769,6098,500000,1945,601300
7177 SE Mitchell Ct,Portland,97206,4,3,139,524900,45.48501968,1796,-122.5895157,1742,524900,2020,557600
3228 SE 52nd Ave,Portland,97206,2,4,159,564000,45.49918747,1800,-122.6087189,4791,564000,1909,604500
7633 SE Morrison St,Portland,97215,2,3,258,510000,45.51704025,2128,-122.584465,5227,510000,1902,566600
2820 SE 47th Ave,Portland,97206,3,5,159,641700,45.50224686,2474,-122.6137085,4791,641700,1912,688800
3415 SE 15th Ave,Portland,97202,2,3,160,600000,45.49788284,1764,-122.6505356,4791,600000,1948,643400
2208 SE 87th Ave,Portland,97216,4,4,143,555000,45.50707245,3071,-122.5736923,16117,555000,1926,590600
12740 NE Stanton St,Portland,97230,3,4,258,483000,45.54237366,3178,-122.5312958,7840,483000,1970,568600
5204 SE 38th Ave,Portland,97202,2,3,160,576500,45.48529053,2152,-122.6233444,5227,576500,1945,618200
2200 NE 57th Ave,Portland,97213,2,3,259,524000,45.53824997,2817,-122.6043167,4791,524000,1923,582400
4622 SE 35th Ave,Portland,97202,3,3,165,620000,45.48946762,1935,-122.6281128,3049,620000,2014,666400
1327 NE 75th Ave,Portland,97213,2,3,262,489000,45.53254318,2157,-122.5861053,5227,489000,1904,544000
1927 SE Harold St,Portland,97202,1,3,166,542500,45.48337173,2415,-122.6459503,6098,542500,1907,583300
3730 SE 64th Ave,Portland,97206,2,3,143,506000,45.49514771,1293,-122.5970535,3920,506000,1901,538500
1708 SE Maple Ave,Portland,97214,1,2,166,526500,45.51075745,2130,-122.649971,3484,526500,1922,566100
3154 NE 75th Ave,Portland,97213,2,3,262,650000,45.54541016,2734,-122.5855942,4791,650000,1924,723100
2233 SE 43rd Ave,Portland,97215,1,2,167,575000,45.50704575,2160,-122.6183929,3484,575000,1914,618600
3414 NE 67th Ave,Portland,97213,2,4,263,493300,45.54768372,1976,-122.5939865,4791,493300,1921,548900
1620 SE 48th Ave,Portland,97215,2,3,168,580000,45.51091766,2242,-122.6128387,2613,580000,1909,672500
10303 SE Stephens St,Portland,97216,3,4,143,650000,45.51003265,2144,-122.5572433,8712,650000,1957,691700
4011 SE Grant Ct,Portland,97214,2,3,171,510000,45.50706482,2602,-122.6211624,3920,510000,1910,549700
7033 NE Flanders St,Portland,97213,2,2,266,500000,45.52580261,2902,-122.5906448,4791,500000,1909,556900
4823 SE 62nd Ave,Portland,97206,3,4,144,527000,45.48796844,1771,-122.5993042,4356,527000,2006,558400
5425 SE Division St,Portland,97206,2,3,171,519000,45.50554276,1682,-122.6064377,4356,519000,1956,559400
5932 NE Davis St,Portland,97213,2,3,269,495000,45.52406693,2142,-122.6024933,4791,495000,1946,551800
2221 SE Sherman St,Portland,97214,2,2,173,565000,45.50641632,2066,-122.6425476,5662,565000,1926,609500
6633 SE Mitchell Ct,Portland,97206,2,2,144,541000,45.48499298,1512,-122.594635,6098,541000,1950,576000
5445 SE 44th Ave,Portland,97206,2,3,174,476000,45.48285294,2450,-122.6179047,7840,476000,1939,513700
1006 SE 111th Ave,Portland,97216,3,4,269,590000,45.51556778,3283,-122.5489044,23522,590000,1942,657700
1208 SE 34th Ave,Portland,97214,1,2,174,560000,45.51409149,988,-122.6292801,3049,560000,1892,604400
1732 NE 61st Ave,Portland,97213,2,3,269,575000,45.53547287,2036,-122.6002579,3049,575000,1934,641000
4515 SE Madison St,Portland,97215,2,2,178,510000,45.51307297,1564,-122.6157455,3049,510000,1896,551300
5000 SE 59th Ave,Portland,97206,1,3,144,506000,45.4865036,930,-122.6022568,6969,506000,1954,538700
1135 NE 74th Ave,Portland,97213,2,3,269,485000,45.53090286,2034,-122.5870895,7405,485000,1910,490003
66 SE 72nd Ave,Portland,97215,2,3,269,525000,45.52212906,2142,-122.5886841,4356,525000,1918,585300
4820 SE 32nd Ave,Portland,97202,2,3,180,507000,45.48775864,1580,-122.632103,5227,507000,1981,548400
3615 SE 63rd Ave,Portland,97206,1,2,146,500000,45.49614334,2022,-122.5986557,3920,500000,1929,532800
214 NE 65th Ave,Portland,97213,3,3,270,580000,45.52444839,2436,-122.5967712,3484,580000,1920,646800
