zpid,bathrooms,bedrooms,daysOnZillow,lastSoldPrice,livingArea (sqft),lotSize,priceHistory/0/price,priceHistory/2/price,yearBuilt,zestimate
53824884,2,4,98,524000,2048,4791,524000,488000,1928,546600
53969368,1,3,97,540000,1371,7840,540000,465000,1955,563000
53966319,2,3,98,600000,1393,7840,600000,515000,1964,625800
53952814,1,2,101,486500,1179,4700,486500,146000,1926,508100
53902234,2,4,97,650000,2362,4791,650000,530000,1913,677700
53983710,1,3,87,480000,1737,5000,480000,,1938,498100
53924478,2,4,82,616000,1704,7840,616000,559900,1947,637800
48244623,2,3,117,480000,1634,10890,480000,450000,1965,515600
48320827,3,5,126,570000,2414,9583,570000,519900,1999,615700
80481659,3,3,130,514000,1780,3920,514000,475000,2006,556600
80486863,3,4,143,635000,2875,7840,635000,614900,2006,693200
48313064,3,4,144,560000,2112,12196,560000,553000,1996,611700
67407928,3,3,145,529500,2077,6534,529500,519500,2004,578800
48247392,3,5,145,521500,2755,10018,521500,514900,1977,570000
67411785,3,5,145,505000,2838,6534,505000,495000,2004,602900
48250517,3,3,150,530000,1694,10454,530000,495000,1985,581200
48620037,4,4,248,555000,3138,21344,555000,575000,1945,631500
80384149,3,4,150,645000,3059,8712,645000,634995,2006,707300
48306352,3,3,150,495000,1935,7840,495000,495000,1993,542800
48246973,3,3,150,525000,2252,10018,525000,494900,1974,575700
48250726,4,5,158,525000,3912,10890,525000,525000,1930,578800
48247735,3,4,168,484900,1941,10018,484900,484900,1971,538200
48247011,2,5,174,555000,2100,10018,555000,575000,1970,618000
80471773,3,4,181,620000,2969,8276,620000,635000,2006,693700
48246937,3,4,193,485000,1968,10018,485000,449000,1967,546300
48249046,3,5,193,500000,2425,10890,500000,520000,1983,563200
48246071,2,4,202,485000,2140,8712,485000,469900,1964,549100
48247033,2,3,203,495000,1600,10018,495000,479900,1965,560800
118205882,3,3,215,537500,2031,12196,537500,537500,2011,612800
48306172,3,4,220,600000,2630,7405,600000,600000,1992,685900
83973946,4,4,220,620000,3400,13068,620000,599900,2007,709100
48246990,3,5,248,579000,3224,10018,579000,579000,1972,671400
48246642,3,3,262,482000,2074,9583,482000,449950,1990,562800
67407940,3,4,264,530000,3049,7405,530000,530000,2004,619800
65358810,3,3,266,600000,2936,10018,600000,599900,2004,702000
48248074,3,4,273,495000,3156,10454,495000,479900,1920,581000
48304849,3,4,276,640000,2487,12196,640000,624900,1991,752100
48304865,3,4,276,595000,3200,9583,595000,599900,1991,699200
48568458,3,4,307,552000,2138,6969,552000,540000,1996,642800
80485783,3,4,291,630000,3379,10018,630000,650000,2006,745200
126253877,3,4,307,500000,1764,3049,500000,500000,2016,582200
246334627,3,4,293,640000,2570,9583,640000,,2017,757700
60056521,2,3,308,520000,1653,8276,520000,509900,2002,605800
48581638,3,4,311,610000,2692,6098,610000,624900,1999,711400
52973029,3,4,297,562300,2452,5227,562300,549900,2001,666900
308916678,3,3,314,510000,1744,,510000,507990,2020,594700
67407933,3,5,299,490500,2548,5662,490500,479950,2004,582200
308916401,3,3,315,509990,1744,,509990,519990,2019,595600
48300726,3,4,300,520000,2544,7405,520000,499999,1989,617500
70937396,3,3,315,575000,2279,3920,575000,599900,2005,671500
48580274,3,4,319,562990,2418,5227,2700,562990,1997,658400
52973021,3,3,304,550000,2176,6534,550000,379900,2001,654200
52694601,3,3,320,625000,2715,5662,625000,624900,1999,731200
55527637,3,3,320,570000,2271,3920,570000,549000,2002,666900
48307486,2,3,311,590000,2464,10018,590000,599900,1993,625200
48570878,3,4,325,538000,2232,6969,538000,535000,1996,630500
48247054,3,3,312,480000,2046,6969,480000,499900,1977,506041
52697360,3,4,329,600000,3025,4791,600000,600000,2000,704200
48581651,3,5,334,573500,2383,5227,573500,579900,1999,674100
48247341,2,3,318,480000,1665,9147,480000,454950,1978,574200
52694593,3,4,335,579400,2081,5227,2695,2795,1999,681300
83083448,3,4,335,640000,2604,5663,640000,,2007,752500
48315569,3,4,332,523000,2183,10018,523000,529000,1997,629100
48569941,3,3,340,593000,2321,7840,593000,649500,1995,698400
48247511,3,5,332,549900,2856,,549900,554900,1965,661400
308916554,3,3,346,505990,1744,,505990,505990,2019,597000
48247325,3,4,333,480000,2028,8712,480000,475000,1978,577600
48576491,3,4,346,649000,2551,7840,649000,625000,1997,765800
308916622,3,4,346,510490,1642,,510490,,2020,602300
65358819,3,4,335,594491,2735,12196,594491,599000,2004,715800
55527578,3,5,346,597000,2698,3920,597000,604990,2003,704200
48576621,3,4,350,504000,1796,5227,504000,505000,1997,595400
250950819,2,4,346,545000,2764,7000,545000,545000,2020,658800
48580270,3,4,355,552900,2336,4792,552900,,1998,654200
48305829,3,4,354,489000,2158,10018,489000,489000,1992,592800
48571940,3,5,360,529000,2000,6098,529000,519000,1996,649600
67407974,3,4,362,524900,3233,9583,524900,524900,2004,638100
55527612,3,3,360,575500,2271,3920,575500,494900,2003,682000
308916535,3,4,363,509990,1642,,509990,,2020,619400
48611028,2,3,304,610000,2165,24393,610000,589000,1948,709600
117565152,3,4,306,640000,2553,6098,640000,624900,2013,745000
52696492,3,4,307,645000,2682,6534,645000,675000,2000,751100
53926050,2,3,304,605000,2895,5662,605000,599000,1938,681200
96400260,3,4,311,554750,2009,3049,554750,549250,2012,646900
48616196,2,3,314,525000,1458,10454,525000,449500,1966,612900
53973800,2,3,306,535000,2804,6098,535000,539000,1959,602700
52695847,3,3,318,480000,1660,5662,480000,469000,2000,561200
48536132,3,4,318,603000,1997,10018,603000,550000,1984,705000
53986409,1,3,306,540000,2422,4791,540000,529900,1946,608400
55527161,3,4,319,600000,2980,5662,3800,600000,2003,701700
48616832,3,3,320,510000,1968,10454,510000,499900,1960,596700
53944193,2,3,311,572000,1933,4791,572000,500000,1941,645400
48572352,4,6,332,610000,4151,7405,610000,660000,1997,716600
53992150,2,3,312,570500,2309,4791,570500,510000,1929,643900
48616482,2,3,333,535000,2339,19602,535000,525000,1954,628700
53987160,2,3,319,625000,1693,4791,625000,650000,1967,706800
48572351,4,4,333,640000,3405,6098,640000,649900,1997,808100
53914014,2,3,315,567500,2448,4791,567500,569000,1927,641000
96388630,3,4,333,575000,2461,6098,575000,565000,2009,675700
53936818,2,3,329,525000,1441,7405,2645,525000,1955,601100
48616149,3,5,333,650000,2424,12632,650000,619900,1965,763800
53944043,2,3,329,570000,1750,3920,570000,574000,1903,646500
48623725,3,5,334,585000,2286,12632,585000,474000,1967,687700
53895151,2,2,346,502765,1942,4791,502765,525000,1987,573100
53832408,2,3,329,513000,1534,4791,513000,435000,1925,581900
48615904,3,4,335,500000,1917,9147,500000,510000,1962,587900
53986166,2,3,333,575000,2102,4791,575000,575000,1940,652900
53868632,2,4,122,615000,2556,4791,615000,575000,1929,648500
96377496,3,4,335,619000,2714,4791,619000,619900,2011,727800
48615803,3,4,341,580000,3264,13068,580000,595000,1988,700900
53865418,3,3,333,498000,2351,4791,498000,479900,1914,565500
48612019,2,5,342,580000,2496,14810,580000,560000,1974,683500
53924673,2,4,334,544900,2702,7405,544900,549950,1952,618900
48615344,2,3,350,484900,1484,9583,484900,474900,1948,572900
53843380,2,2,335,522000,2589,6098,522000,510000,1944,593100
48620678,3,3,350,540000,2176,14810,540000,542900,1978,638000
2079567187,4,5,341,632000,3304,7405,632000,629000,1920,854000
53876222,3,2,353,545000,2271,,545000,549900,2000,621800
99405137,3,5,354,620000,2306,5227,620000,615000,2010,733400
53909046,2,5,346,550000,2277,4791,550000,450000,1944,626900
48581566,3,4,360,605000,2279,5662,2990,2990,1998,717000
53986404,3,4,347,650000,2982,5227,650000,685000,1929,741100
70515748,3,4,348,519500,1876,3049,519500,514900,2008,592500
53850450,1,3,353,496875,2053,8712,496875,435000,1915,567500
53875935,1,3,353,490000,2164,4791,490000,475000,1907,559700
53876395,2,3,353,575000,2477,4791,575000,510000,1912,656800
53932129,2,3,355,505000,1390,4791,505000,450000,1950,577100
53956593,3,5,356,576000,2588,5662,576000,549000,1965,658500
88961474,3,3,356,527320,2400,2178,527320,549900,2009,602800
53985491,2,4,357,500000,2588,4791,500000,449000,1946,571800
53944176,1,2,357,525000,1640,5227,525000,439000,1924,600300
53867660,2,4,360,500000,2529,4791,500000,479900,1942,572300
53967109,1,2,360,505000,1815,4791,505000,415000,1926,578000
53967059,2,4,361,590000,2404,5227,590000,599000,1931,706800
2080594931,2,4,33,520000,1458,4791,520000,479500,1917,537600
53947465,1,3,122,599000,2182,4791,599000,2750,1927,631600
53973569,1,2,33,520000,800,5000,520000,,1917,526800
53841280,2,4,124,480000,2340,4356,480000,499950,1924,677400
53965213,2,3,122,609000,1802,5227,609000,575000,1950,642200
53898017,1,2,122,555000,1223,5227,555000,475000,1951,585200
53834179,1,2,125,512000,1974,3920,512000,350000,1920,540600
53859042,2,3,126,615000,2299,4791,615000,595000,1923,649600
53905034,1,2,123,490000,1249,3049,490000,450000,1922,516900
94672493,2,3,124,525000,1260,1742,525000,550000,2010,554100
53902494,1,2,124,501129,942,3920,501129,435000,1910,528900
53993226,1,2,125,475500,792,5227,475500,400000,1949,502100
53861582,3,4,129,487000,2289,10454,487000,425000,1965,515100
53976190,2,4,125,552000,1658,3484,552000,535000,2002,582800
53986471,1,3,125,645512,1704,4791,645512,550000,1925,681600
53925074,1,4,143,480000,1554,8276,480000,450000,1947,510800
108703191,3,3,145,501000,1386,2613,501000,455000,2011,533600
300097158,4,3,126,605000,2033,1742,605000,599900,2019,639100
53981225,2,4,151,590000,2120,4791,590000,499900,1949,630100
53902900,2,4,126,570000,2964,3049,570000,500000,1910,602100
53947613,2,3,153,525000,1942,6098,525000,450000,1942,561200
68353075,2,3,129,548000,1620,3920,548000,499000,1927,579600
58475061,1,2,129,552500,979,3920,552500,499000,1955,584400
53914610,2,3,164,530000,2433,4791,530000,498800,1952,569400
53844778,1,2,129,480000,750,3920,480000,425000,1953,507700
53994469,3,4,122,550000,2213,11325,550000,499000,1924,580000
53867537,2,2,129,525000,2799,4791,525000,545000,1918,705500
53878764,2,4,164,489900,2119,9583,489900,479900,1944,526300
53893238,1,3,129,553400,2362,4791,553400,274900,1942,585300
53884035,2,3,168,585000,2506,4791,585000,575000,1929,629600
53858189,2,4,131,550000,1932,4791,550000,529000,1923,582200
53822211,3,2,132,520000,2490,4791,520000,529250,1949,550700
248438294,2,,185,515000,1988,10000,515000,230000,1922,558200
53836926,3,3,124,550000,2886,11325,550000,445000,1958,580500
53831426,2,3,192,513245,2252,5227,513245,510000,1924,557700
53973108,2.5,5,125,550000,2662,10425,550000,,1952,595800
53981079,2,3,196,525000,1915,4791,525000,450000,1928,571400
53967294,1,2,126,490000,1737,5662,490000,299950,1951,517600
53948218,2,4,207,499000,2596,4791,499000,499000,1927,545300
53967538,2,3,132,600000,2782,6969,600000,525000,1910,635400
53884194,2,3,230,537500,1597,4791,537500,525000,1927,591900
53945763,2,5,133,513000,2591,3920,513000,545000,1917,543500
53823240,1,2,231,480000,1824,4791,480000,480000,1921,528700
53925036,2,3,235,540000,2139,17424,540000,599900,1943,595600
53892409,2,3,140,495000,1744,4791,495000,485000,1944,526100
53817549,3,5,236,589000,2940,7840,3500,3750,1924,649900
53837408,3,5,243,583000,2390,8712,583000,575000,1960,644700
53916325,3,2,143,620000,2504,3484,620000,625000,2020,659800
53938137,2,4,248,479000,2591,8276,479000,479000,1964,530500
53946379,1,3,143,495900,2191,5227,495900,495900,1927,527700
300094900,3,3,248,565000,1602,2613,565000,565000,2018,625800
53816303,1,3,143,525000,1664,4791,525000,399000,1954,558700
53845110,2,4,248,489124,2319,12632,489124,499900,1927,541700
53838331,3,3,250,615000,2688,6969,615000,525000,1964,681600
53856875,3,3,255,513800,1433,10454,513800,469999,1927,570300
53914472,2,3,256,479000,1040,,479000,479000,1979,531800
124247282,3,3,144,628000,1672,2613,628000,549900,2017,668600
53981111,2,3,259,525000,2752,4791,525000,519900,1942,583500
248437697,3,3,144,585000,1668,2613,585000,599900,2017,622800
53884199,1,2,262,517500,1731,5662,517500,420000,1920,575700
176566399,3,4,262,540000,2246,5662,540000,489000,2017,600700
53817385,2,3,265,530000,1841,4791,530000,509900,1927,590100
53822860,2,3,145,550000,1831,4791,550000,535000,1925,585800
53817449,2,4,269,480000,2738,4791,480000,439800,1931,535100
53914645,2,3,269,495000,1232,4791,495000,469900,1925,551800
53954428,3,4,146,595000,2782,7840,595000,545000,1966,634000
